08-04 11:26:36 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<89c15670>
08-04 11:26:36 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<7b96a030>
08-04 11:57:46 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<adb11f0>
08-04 11:57:46 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<8fa50020>
08-04 12:08:10 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<89c03990>
08-04 12:08:10 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<548df010>
08-04 12:14:19 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<98490c00>
08-04 12:14:19 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<37d8490>
08-04 12:23:19 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<98407fb0>
08-04 12:23:19 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<18152020>
08-04 12:36:16 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<98454be0>
08-04 12:36:16 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<448aa020>
08-04 12:36:32 | Server | Debug | Connect | n/a | n/a | InvokeOnDisconnect:CustomMission<98454be0>
08-04 12:36:32 | Server | Debug | Connect | n/a | n/a | Player disconnected:SurvivorBase<448aa020>
08-04 12:36:32 | Server | Debug | n/a | n/a | n/a | Player SurvivorBase<448aa020> saved as alive
08-04 12:56:25 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<985e2140>
08-04 12:56:25 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<ccefa270>
08-04 13:02:52 | Server | Debug | Connect | n/a | n/a | InvokeOnDisconnect:CustomMission<985e2140>
08-04 13:02:52 | Server | Debug | Connect | n/a | n/a | Player disconnected:SurvivorBase<ccefa270>
08-04 13:02:52 | Server | Debug | n/a | n/a | n/a | Player SurvivorBase<ccefa270> saved as alive
08-06 12:59:39 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<a9bec140>
08-06 12:59:39 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<9b5090d0>
08-06 13:27:44 | Server | Debug | recipes | n/a | n/a | Recipe Do method called
08-06 14:07:37 | Server | Debug | Connect | n/a | n/a | InvokeOnDisconnect:CustomMission<a9bec140>
08-06 14:07:37 | Server | Debug | Connect | n/a | n/a | Player disconnected:SurvivorBase<9b5090d0>
08-06 14:07:37 | Server | Debug | n/a | n/a | n/a | Player SurvivorBase<9b5090d0> saved as alive
08-06 14:42:05 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<f6c9a800>
08-06 14:42:05 | Server | Debug | Connect | n/a | n/a | Player connected:SurvivorBase<8952fcd0>
08-06 14:45:15 | Server | Debug | Connect | n/a | n/a | InvokeOnDisconnect:CustomMission<f6c9a800>
08-06 14:45:15 | Server | Debug | Connect | n/a | n/a | Player disconnected:SurvivorBase<8952fcd0>
08-06 14:45:15 | Server | Debug | n/a | n/a | n/a | Player SurvivorBase<8952fcd0> saved as alive
08-06 14:51:38 | Server | Debug | Connect | n/a | n/a | InvokeOnConnect:CustomMission<35575530>
