filename,className,parent-element,slotName
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,,,none
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,GorkaEJacket_Autumn,Items[0],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_12gaPellets,InventoryCargo[0],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_12gaSlug,InventoryCargo[1],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_308Win,InventoryCargo[2],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_545x39,InventoryCargo[3],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_762x39,InventoryCargo[4],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_762x54,InventoryCargo[5],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_9x19,InventoryCargo[6],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_45ACP,InventoryCargo[7],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,GorkaEJacket_Flat,Items[1],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_12gaPellets,InventoryCargo[0],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_12gaSlug,InventoryCargo[1],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_308Win,InventoryCargo[2],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_545x39,InventoryCargo[3],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_762x39,InventoryCargo[4],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_762x54,InventoryCargo[5],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_9x19,InventoryCargo[6],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_45ACP,InventoryCargo[7],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,GorkaEJacket_PautRev,Items[2],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_12gaPellets,InventoryCargo[0],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_12gaSlug,InventoryCargo[1],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_308Win,InventoryCargo[2],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_545x39,InventoryCargo[3],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_762x39,InventoryCargo[4],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_762x54,InventoryCargo[5],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_9x19,InventoryCargo[6],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_45ACP,InventoryCargo[7],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,GorkaEJacket_Summer,Items[3],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_12gaPellets,InventoryCargo[0],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_12gaSlug,InventoryCargo[1],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_308Win,InventoryCargo[2],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_545x39,InventoryCargo[3],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_762x39,InventoryCargo[4],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_762x54,InventoryCargo[5],Body
C:\Program Files (x86)\Steam\steamapps\common\DayZServerChernaTrader\config\ExpansionMod\Loadouts\BanditLoadout.json,Ammo_9x19,InventoryCargo[6],Body
